bits: 8192
nu,z,terms
0,2856,2729
0.03125,2856,2729
0.06250,2856,2729
0.09375,2856,2729
0.12500,2856,2729
0.15625,2856,2728
0.18750,2856,2727
0.21875,2856,2727
0.25000,2856,2726
0.28125,2856,2732
0.31250,2856,2731
0.34375,2856,2729
0.37500,2856,2727
0.40625,2856,2731
0.43750,2856,2727
0.46875,2856,2727
0.50000,4,1
0.53125,2856,2727
0.56250,2856,2727
0.59375,2856,2724
0.62500,2856,2727
0.65625,2856,2721
0.68750,2856,2723
0.71875,2856,2725
0.75000,2856,2726
0.78125,2856,2719
0.81250,2856,2720
0.84375,2856,2721
0.87500,2856,2721
0.90625,2856,2722
0.93750,2856,2722
0.96875,2856,2722
1.00000,2856,2715
1.03125,2856,2715
1.06250,2856,2715
1.09375,2856,2715
1.12500,2856,2714
1.15625,2856,2714
1.18750,2856,2713
1.21875,2856,2713
1.25000,2856,2712
1.28125,2856,2711
1.31250,2852,2819
1.34375,2852,2813
1.37500,2852,2806
1.40625,2852,2798
1.43750,2852,2789
1.46875,2852,2775
1.50000,4,1
1.53125,2852,2775
1.56250,2852,2789
1.59375,2852,2798
1.62500,2852,2806
1.65625,2852,2813
1.68750,2852,2820
1.71875,2852,2826
1.75000,2852,2804
1.78125,2852,2806
1.81250,2852,2809
1.84375,2852,2811
1.87500,2852,2812
1.90625,2852,2814
1.93750,2852,2814
1.96875,2852,2815
2.00000,2852,2815
2.03125,2852,2815
2.06250,2852,2814
2.09375,2852,2814
2.12500,2852,2812
2.15625,2852,2811
2.18750,2852,2809
2.21875,2852,2806
2.25000,2852,2804
2.28125,2852,2801
2.31250,2852,2797
2.34375,2852,2793
2.37500,2852,2788
2.40625,2852,2783
2.43750,2852,2763
2.46875,2852,2753
2.50000,4,2
2.53125,2852,2753
2.56250,2852,2763
2.59375,2852,2770
2.62500,2852,2775
2.65625,2852,2778
2.68750,2852,2782
2.71875,2852,2784
2.75000,2852,2787
2.78125,2852,2789
2.81250,2852,2790
2.84375,2852,2792
2.87500,2852,2793
2.90625,2852,2793
2.93750,2852,2794
2.96875,2852,2794
3.00000,2852,2795
3.03125,2852,2794
3.06250,2852,2794
3.09375,2852,2793
3.12500,2852,2793
3.15625,2852,2792
3.18750,2852,2790
3.21875,2852,2789
3.25000,2852,2787
3.28125,2852,2784
3.31250,2852,2782
3.34375,2852,2778
3.37500,2852,2775
3.40625,2852,2759
3.43750,2852,2753
3.46875,2852,2744
3.50000,4,2
3.53125,2852,2744
3.56250,2852,2753
3.59375,2852,2759
3.62500,2852,2763
3.65625,2852,2766
3.68750,2852,2769
3.71875,2852,2771
3.75000,2852,2773
3.78125,2852,2775
3.81250,2852,2776
3.84375,2852,2777
3.87500,2852,2778
3.90625,2852,2779
3.93750,2852,2779
3.96875,2852,2780
4.00000,2852,2780
