bits: 256
nu,z,terms
0,104,84
0.03125,104,84
0.06250,104,84
0.09375,104,84
0.12500,104,84
0.15625,104,83
0.18750,104,83
0.21875,104,85
0.25000,104,85
0.28125,104,84
0.31250,104,84
0.34375,104,84
0.37500,104,83
0.40625,104,84
0.43750,104,83
0.46875,104,83
0.50000,4,1
0.53125,104,83
0.56250,104,83
0.59375,104,83
0.62500,104,83
0.65625,104,84
0.68750,104,82
0.71875,104,83
0.75000,104,83
0.78125,104,83
0.81250,104,82
0.84375,104,82
0.87500,104,82
0.90625,104,82
0.93750,104,82
0.96875,104,82
1.00000,104,82
1.03125,104,81
1.06250,104,81
1.09375,104,81
1.12500,104,81
1.15625,104,81
1.18750,104,80
1.21875,104,80
1.25000,104,80
1.28125,104,80
1.31250,104,80
1.34375,104,79
1.37500,104,78
1.40625,104,77
1.43750,100,99
1.46875,100,92
1.50000,4,1
1.53125,100,92
1.56250,100,99
1.59375,104,77
1.62500,104,78
1.65625,104,78
1.68750,104,78
1.71875,104,79
1.75000,104,79
1.78125,104,79
1.81250,104,79
1.84375,104,79
1.87500,104,78
1.90625,104,78
1.93750,104,78
1.96875,104,78
2.00000,104,78
2.03125,104,78
2.06250,104,78
2.09375,104,78
2.12500,104,78
2.15625,104,78
2.18750,104,78
2.21875,104,78
2.25000,104,78
2.28125,104,78
2.31250,104,77
2.34375,104,77
2.37500,100,99
2.40625,100,95
2.43750,100,92
2.46875,100,89
2.50000,4,2
2.53125,100,89
2.56250,100,89
2.59375,100,90
2.62500,100,92
2.65625,100,93
2.68750,100,95
2.71875,100,96
2.75000,100,97
2.78125,100,100
2.81250,104,77
2.84375,104,77
2.87500,104,77
2.90625,104,77
2.93750,104,77
2.96875,104,77
3.00000,104,77
3.03125,104,77
3.06250,104,77
3.09375,104,77
3.12500,104,77
3.15625,104,77
3.18750,104,77
3.21875,104,77
3.25000,100,97
3.28125,100,96
3.31250,100,95
3.34375,100,93
3.37500,100,92
3.40625,100,91
3.43750,100,89
3.46875,100,86
3.50000,4,2
3.53125,100,86
3.56250,100,89
3.59375,100,88
3.62500,100,89
3.65625,100,90
3.68750,100,90
3.71875,100,91
3.75000,100,92
3.78125,100,92
3.81250,100,93
3.84375,100,93
3.87500,100,93
3.90625,100,94
3.93750,100,94
3.96875,100,94
4.00000,100,94
