bits: 128
nu,z,terms
0,60,43
0.03125,60,43
0.06250,60,43
0.09375,60,43
0.12500,60,44
0.15625,60,44
0.18750,60,44
0.21875,60,44
0.25000,60,44
0.28125,60,43
0.31250,60,43
0.34375,60,43
0.37500,60,44
0.40625,60,43
0.43750,60,44
0.46875,60,43
0.50000,4,1
0.53125,60,43
0.56250,60,43
0.59375,60,43
0.62500,60,43
0.65625,60,43
0.68750,60,43
0.71875,60,42
0.75000,60,43
0.78125,60,43
0.81250,60,43
0.84375,60,43
0.87500,60,42
0.90625,60,42
0.93750,60,42
0.96875,60,42
1.00000,60,42
1.03125,60,42
1.06250,60,42
1.09375,60,41
1.12500,60,41
1.15625,60,41
1.18750,60,41
1.21875,60,41
1.25000,60,41
1.28125,60,41
1.31250,60,40
1.34375,60,40
1.37500,60,40
1.40625,56,55
1.43750,56,48
1.46875,56,46
1.50000,4,1
1.53125,56,46
1.56250,56,48
1.59375,56,50
1.62500,56,51
1.65625,56,53
1.68750,56,54
1.71875,60,40
1.75000,60,40
1.78125,60,40
1.81250,60,40
1.84375,60,40
1.87500,60,40
1.90625,60,40
1.93750,56,53
1.96875,56,53
2.00000,56,53
2.03125,56,53
2.06250,56,53
2.09375,56,53
2.12500,56,53
2.15625,56,52
2.18750,56,52
2.21875,56,51
2.25000,56,51
2.28125,56,50
2.31250,56,50
2.34375,56,49
2.37500,56,49
2.40625,56,48
2.43750,56,47
2.46875,56,45
2.50000,4,2
2.53125,56,45
2.56250,56,47
2.59375,56,48
2.62500,56,49
2.65625,56,49
2.68750,56,50
2.71875,56,48
2.75000,56,48
2.78125,56,49
2.81250,56,49
2.84375,56,49
2.87500,56,49
2.90625,56,49
2.93750,56,50
2.96875,56,50
3.00000,56,50
3.03125,56,50
3.06250,56,50
3.09375,56,49
3.12500,56,49
3.15625,56,49
3.18750,56,49
3.21875,56,49
3.25000,56,48
3.28125,56,48
3.31250,56,48
3.34375,56,47
3.37500,56,47
3.40625,56,46
3.43750,56,45
3.46875,56,44
3.50000,4,2
3.53125,56,44
3.56250,56,45
3.59375,56,46
3.62500,56,47
3.65625,56,47
3.68750,56,48
3.71875,56,48
3.75000,56,49
3.78125,56,47
3.81250,56,47
3.84375,56,47
3.87500,56,47
3.90625,56,47
3.93750,56,47
3.96875,56,48
4.00000,56,48
