bits: 1024
nu,z,terms
0,372,322
0.03125,372,322
0.06250,372,321
0.09375,372,321
0.12500,372,321
0.15625,372,321
0.18750,372,321
0.21875,372,321
0.25000,372,320
0.28125,372,322
0.31250,372,322
0.34375,372,321
0.37500,372,321
0.40625,372,322
0.43750,372,321
0.46875,372,321
0.50000,4,1
0.53125,372,321
0.56250,372,321
0.59375,372,320
0.62500,372,321
0.65625,372,321
0.68750,372,320
0.71875,372,320
0.75000,372,320
0.78125,368,360
0.81250,368,362
0.84375,368,363
0.87500,368,366
0.90625,372,319
0.93750,372,319
0.96875,372,319
1.00000,368,353
1.03125,368,353
1.06250,368,353
1.09375,368,353
1.12500,368,352
1.15625,368,352
1.18750,368,351
1.21875,368,350
1.25000,368,349
1.28125,368,348
1.31250,368,342
1.34375,368,341
1.37500,368,340
1.40625,368,338
1.43750,368,336
1.46875,368,332
1.50000,4,1
1.53125,368,332
1.56250,368,336
1.59375,368,338
1.62500,368,340
1.65625,368,341
1.68750,368,342
1.71875,368,343
1.75000,368,344
1.78125,368,340
1.81250,368,340
1.84375,368,341
1.87500,368,341
1.90625,368,341
1.93750,368,341
1.96875,368,341
2.00000,368,341
2.03125,368,341
2.06250,368,341
2.09375,368,341
2.12500,368,341
2.15625,368,341
2.18750,368,340
2.21875,368,340
2.25000,368,339
2.28125,368,339
2.31250,368,338
2.34375,368,337
2.37500,368,336
2.40625,368,334
2.43750,368,332
2.46875,368,326
2.50000,4,2
2.53125,368,326
2.56250,368,329
2.59375,368,331
2.62500,368,332
2.65625,368,333
2.68750,368,334
2.71875,368,335
2.75000,368,335
2.78125,368,336
2.81250,368,336
2.84375,368,336
2.87500,368,337
2.90625,368,337
2.93750,368,337
2.96875,368,337
3.00000,368,337
3.03125,368,337
3.06250,368,337
3.09375,368,337
3.12500,368,337
3.15625,368,336
3.18750,368,336
3.21875,368,336
3.25000,368,335
3.28125,368,335
3.31250,368,334
3.34375,368,333
3.37500,368,332
3.40625,368,331
3.43750,368,326
3.46875,368,323
3.50000,4,2
3.53125,368,323
3.56250,368,326
3.59375,368,328
3.62500,368,329
3.65625,368,330
3.68750,368,331
3.71875,368,331
3.75000,368,332
3.78125,368,332
3.81250,368,333
3.84375,368,333
3.87500,368,333
3.90625,368,333
3.93750,368,333
3.96875,368,334
4.00000,368,334
