bits: 512
nu,z,terms
0,192,171
0.03125,192,171
0.06250,192,171
0.09375,192,171
0.12500,192,170
0.15625,192,170
0.18750,192,170
0.21875,192,170
0.25000,192,172
0.28125,192,172
0.31250,192,171
0.34375,192,170
0.37500,192,170
0.40625,192,171
0.43750,192,170
0.46875,192,170
0.50000,4,1
0.53125,192,170
0.56250,192,170
0.59375,192,169
0.62500,192,170
0.65625,192,170
0.68750,192,168
0.71875,192,169
0.75000,192,169
0.78125,192,170
0.81250,192,167
0.84375,192,168
0.87500,192,168
0.90625,192,168
0.93750,192,168
0.96875,192,168
1.00000,192,168
1.03125,192,166
1.06250,192,166
1.09375,192,165
1.12500,192,165
1.15625,192,165
1.18750,192,165
1.21875,192,165
1.25000,192,164
1.28125,192,164
1.31250,192,164
1.34375,192,161
1.37500,192,161
1.40625,192,160
1.43750,192,159
1.46875,192,157
1.50000,4,1
1.53125,192,157
1.56250,192,159
1.59375,192,160
1.62500,192,161
1.65625,192,161
1.68750,192,162
1.71875,192,162
1.75000,192,162
1.78125,192,163
1.81250,192,161
1.84375,192,161
1.87500,192,161
1.90625,192,161
1.93750,192,161
1.96875,192,161
2.00000,192,161
2.03125,192,161
2.06250,192,161
2.09375,192,161
2.12500,192,161
2.15625,192,161
2.18750,192,161
2.21875,192,161
2.25000,192,160
2.28125,192,160
2.31250,192,160
2.34375,192,159
2.37500,192,159
2.40625,192,158
2.43750,192,157
2.46875,192,155
2.50000,4,2
2.53125,188,181
2.56250,192,155
2.59375,192,156
2.62500,192,157
2.65625,192,158
2.68750,192,158
2.71875,192,158
2.75000,192,159
2.78125,192,159
2.81250,192,159
2.84375,192,159
2.87500,192,159
2.90625,192,159
2.93750,192,159
2.96875,192,159
3.00000,192,159
3.03125,192,159
3.06250,192,159
3.09375,192,159
3.12500,192,159
3.15625,192,159
3.18750,192,159
3.21875,192,159
3.25000,192,159
3.28125,192,158
3.31250,192,158
3.34375,192,158
3.37500,192,157
3.40625,192,156
3.43750,192,155
3.46875,188,175
3.50000,4,2
3.53125,188,175
3.56250,188,181
3.59375,192,155
3.62500,192,155
3.65625,192,156
3.68750,192,156
3.71875,192,157
3.75000,192,157
3.78125,192,157
3.81250,192,157
3.84375,192,157
3.87500,192,158
3.90625,192,158
3.93750,192,158
3.96875,192,158
4.00000,192,158
